No,AQI
33406,103.23
33407,96.93
33408,38.88
33409,56.53
33410,65.43
33411,77.55
33412,139.39
33413,156.67
33414,193.75
33415,150.67
33416,119.42
33417,75.32
33418,63.32
33419,84.22
33420,112.07
33421,120.3
33422,109.72
33423,97.47
33424,95.25333333
33425,110.7
33426,117.47
33427,119.6
33428,125.75
33429,160.915
33430,164.4
33431,173.55
33432,150.07
33433,130.59
33434,120.91
33435,83.88
33436,72.49
33437,56.23
33438,60.72
33439,43.06
33440,51.485
33441,46.05
33442,42.82
33443,46.18
33444,54.15
33445,62.95
33446,204.44
33447,294.96
33448,357.55
33449,411.18
33450,359
33451,399.8325
33452,417.9576667
33453,465.56
33454,498.3208333
33455,524.1533333
33456,486.56
33457,365.6113333
33458,502.64
33459,458.34
33460,375.66
33461,426.5314286
33462,214.5663333
33463,308.01
33464,301.34
33465,255.5
33466,139.83
33467,238.71
33468,240.54
33469,253.04
33470,260.02
33471,281.99
33472,349.18
33473,252.7401667
33474,275.69
33475,292.5266667
33476,288.53
33477,279.12
33478,262.48
33479,212.93
33480,144.75
33481,99.84
33482,86.76
33483,102.3533333
33484,111.02
33485,88.87
33486,77.2
33487,102.63
33488,131.26
33489,88.50833333
33490,79.72
33491,18.98
33492,14.55
33493,17
33494,151.13
33495,189.45
33496,211.98
33497,269.79
33498,275.69
33499,213.43
33500,34.01
33501,19.7
33502,20.92
33503,19.05
33504,16.73
33505,31.59
33506,48.8
33507,29.46
33508,43.99
33509,46.55
33510,39
33511,45.32
33512,69.52
33513,58.21
33514,122.36
33515,106.38
33516,77.92
33517,85.57
33518,90.14
33519,95.41
33520,104.06
33521,130.29
33522,160.21
33523,164.13
33524,139.8
33525,150.26
33526,139.03
33527,121.1
33528,148.3073333
33529,227.9833333
33530,365.6113333
33531,156.7466429
33532,187.075
33533,188.885
33534,150.93
33535,143.29
33536,123.399881
33537,199.1883333
33538,182.85
33539,195.07
33540,199.13
33541,204
33542,151.85
33543,28.68
33544,26.22
33545,19.94
33546,25.17
33547,17.2
33548,18.62
33549,29.05
33550,9.28
33551,10.79
33552,10.38
33553,8.21
33554,7.28
33555,10.31
33556,10.77
33557,11.15
33558,10.85
33559,9.19
33560,10.5
33561,13.7
33562,14.03
33563,12.77
33564,10.49
33565,13.95
33566,11.4
33567,11.41
33568,12.21
33569,9.64
33570,9.74
33571,10.75
33572,10.82
33573,11.05
33574,14.07
33575,13.35
33576,15.47
33577,13.6
33578,16.96
33579,16.7
33580,22.09033333
33581,24.34
33582,21.41666667
33583,22.28
33584,34.39
33585,30.72
33586,41.83
33587,45.41
33588,45.24
33589,56.06
33590,55.12
33591,58.68
33592,89.18
33593,99.16
33594,103.9033333
33595,107.35
33596,105.95
33597,112.82
33598,136.97
33599,149.96
33600,137.4366667
33601,85.8942381
33602,111.276
33603,94.35
33604,95.66
33605,91.18
33606,91.91
33607,85.33
33608,110.72
33609,94.7
33610,100.42
33611,106.91
33612,139.69
33613,222.3525
33614,183.1133333
33615,203.2566667
33616,199.3
33617,187.1786667
33618,266.1066667
33619,245.36
33620,321.63
33621,266.96
33622,324.91
33623,287.56
33624,260.67
33625,216.03
33626,168.99
33627,159.02
33628,186.69
33629,239.81
33630,179.85
33631,200.14
33632,221.54
33633,210.29
33634,208.75
33635,218.65
33636,251.29
33637,289.55
33638,318.78
33639,292.26
33640,327.867
33641,284.58
33642,282.41
33643,268.01
33644,281.11
33645,256.73
33646,219.1
33647,219.46
33648,210.52
33649,232.56
33650,233.45
33651,182.18
33652,169.41
33653,161.04
33654,128.82
33655,108.33
33656,78.54
33657,44.28
33658,43.69
33659,38.79
33660,31.09
33661,39.24
33662,29.99
33663,32.4
33664,34.66
33665,42.94
33666,50.48
33667,58.67
33668,56.63
33669,62.17
33670,64.46
33671,64.53666667
33672,37.6
33673,28.61
33674,28.27
33675,20.55
33676,20.35
33677,17.79
33678,18.81
33679,18.77
33680,16.03
33681,18.14
33682,18.56
33683,25.68
33684,36.49
33685,40.4
33686,43.81
33687,66.16
33688,109.19
33689,94.45
33690,81.48
33691,48.23
33692,53.96
33693,71.76
33694,55.84
33695,43.93
33696,59.81
33697,38.1
33698,51.69
33699,39.38
33700,53.59
33701,65.22
33702,43.66
33703,47.51
33704,55.39
33705,65.7
33706,69.55
33707,71.64
33708,87.20333333
33709,87.39
33710,104.99
33711,109.25
33712,193.18
33713,121.65
33714,133.09
33715,114.47
33716,163.88
33717,138.435
33718,103.05
33719,102.3
33720,112.97
33721,112.77
33722,125.34
33723,153.92
33724,147.73
33725,114.89
33726,113.04
33727,125.28
33728,141.36
33729,142.31
33730,146.71
33731,62.91
33732,20.45
33733,31.85
33734,16.68
33735,14
33736,12.71
33737,14.13
33738,15.5
33739,18.91
33740,23.14
33741,16.02
33742,15.47
33743,30.45
33744,16.6
33745,41.84
33746,31
33747,47.59
33748,42.47
33749,51.65
33750,98.05
33751,69.82
33752,68.52
33753,65.23
33754,65.94
33755,76.88
33756,73.48
33757,63.94
33758,87.78
33759,87.98
33760,81.55
33761,89.92
33762,77.83
33763,127.6666667
33764,105.58
33765,99.44
33766,109.92
33767,93.54
33768,114.13
33769,95.74
33770,102.87
33771,126.65
33772,115.47
33773,116.16
33774,146.911
33775,163.44
33776,165.76
33777,185.23
33778,196.77
33779,204.74
33780,206.798
33781,234.81
33782,226.23
33783,230.23
33784,217.49
33785,210.6814167
33786,260.77
33787,244.78
33788,217.11
33789,188.662
33790,109.89
33791,50.93
33792,25.86
33793,17.51
33794,19.98
33795,37.94
33796,29.02
33797,19.1
33798,18
33799,22.31
33800,18.86
33801,20.82
33802,20.28
33803,30.58
33804,38.58
33805,67.39
33806,126.3
33807,152.52
33808,158.73
33809,175.32
33810,204.37
33811,369.65
33812,298.46
33813,244.43
33814,191.475
33815,159.505
33816,148.17
33817,184.28
33818,176.18
33819,175.22
33820,115.87
33821,105.41
33822,86.58
33823,119.7266667
33824,128.17
33825,135.93
33826,169.83
33827,131.09
33828,133.65
33829,154.38
33830,157.66
33831,157.55
33832,160.79
33833,187.33
33834,189.3
33835,216.3033333
33836,160.685
33837,256.6305
33838,195.14
33839,200.2
33840,176.29
33841,187.98
33842,188.45
33843,170.76
33844,167.59
33845,154.32
33846,148.876
33847,145.39
33848,168.15
33849,151.51
33850,158.95
33851,124.63
33852,128.62
33853,153.8
33854,142.56
33855,141.77
33856,147.63
33857,149.6
33858,144.31
33859,145.91
33860,154.78
33861,156.03
33862,156.14
33863,207.7825
33864,218.26
33865,193.809
33866,182.74
33867,126.67
33868,68.33
33869,28.06
33870,20.02
33871,24.2
33872,18.41
33873,15
33874,15.29
33875,15.1
33876,12.06
33877,22.44
33878,16.39
33879,15.41
33880,12.18
33881,12.06
33882,9.78
33883,8.64
33884,10.62
33885,18.8
33886,12.78
33887,8.65
33888,6.69
33889,5.97
33890,7.38
33891,7.29
33892,6.32
33893,7.4
33894,7.97
33895,6.66
33896,6.16
33897,5.32
33898,6
33899,7.15
33900,8.03
33901,7.33
33902,10.29
33903,15.48
33904,11.88
33905,22.38
33906,11.14
33907,10.05
33908,6.89
33909,6.4
33910,6.6
33911,7.65
33912,7.16
33913,10.48
33914,10.09
33915,9.8
33916,14.14
33917,12.18
33918,10.91
33919,10.88
33920,7.2
33921,7.59
33922,20.49
33923,35.5
33924,39.56
33925,52.95
33926,65.21
33927,82.45
33928,93.92
33929,108.99
33930,83.09
33931,75.52
33932,61.49
33933,67.19
33934,77.63
33935,107.39
33936,129.51
33937,127.56
33938,105.12
33939,63.01
33940,99.84
33941,100.96
33942,93.17
33943,83.55
33944,91.39
33945,102.72
33946,129.81
33947,102.16
33948,95.59
33949,93.92
33950,77.45
33951,85.94
33952,105.25
33953,110.66
33954,120.63
33955,167.4916667
33956,148.01
33957,172.9956667
33958,217.4675
33959,202.46
33960,162.12
33961,139.83
33962,175.47
33963,160.9666667
33964,139.43
33965,122.17
33966,106.12
33967,117.64
33968,118.47
33969,119.57
33970,115.39
33971,113.07
33972,85.49
33973,128.11
33974,129.3
33975,151.9
33976,142.91
33977,130.34
33978,161.87
33979,135.68
33980,126.86
33981,110.51
33982,102.47
33983,115.39
33984,110.45
33985,102.78
33986,102.47
33987,101.59
33988,109.18
33989,111.14
33990,98.86
33991,84.68
33992,92.84
33993,92.96
33994,94.95
33995,98.32
33996,105.12
33997,105.29
33998,104.19
33999,103.59
34000,105.01
34001,106.56
34002,103.04
34003,94.67
34004,93.43
34005,89.69
34006,124.12
34007,161.69
34008,182.26
34009,188.55
34010,219.5
34011,175.68
34012,179.66
34013,47
34014,31.3
34015,18.88
34016,24.63
34017,25.61
34018,14.79
34019,10.26
34020,12.42
34021,14.06
34022,11.13
34023,16.42
34024,13.01
34025,12.29
34026,11.81
34027,14.02
34028,12.56
34029,11.29
34030,9.79
34031,10.41
34032,10.42
34033,12.53
34034,12.4
34035,15.25
34036,13.94
34037,15.29
34038,14.34
34039,14.43
34040,13.35
34041,13.93
34042,18.76
34043,15.61
34044,14.75
34045,16.71
34046,17.29
34047,25.71
34048,24.99
34049,19.73
34050,14.46
34051,14.85
34052,14.73
34053,13.31
